"","province","gender","age","edu","Number","Proportion"
"83","MB","Male","18 to 29","Graduated college",12,0.0104803493449782
"84","MB","Male","18 to 29","Graduated high school",29,0.0253275109170306
"85","MB","Male","30 to 44","Didn't graduate college",52,0.0454148471615721
"86","MB","Male","30 to 44","Didn't graduate high school",11,0.00960698689956332
"87","MB","Male","30 to 44","Graduated college",39,0.034061135371179
"88","MB","Male","30 to 44","Graduated high school",29,0.0253275109170306
"89","MB","Male","45 to 59","Didn't graduate college",37,0.0323144104803493
"90","MB","Male","45 to 59","Didn't graduate high school",25,0.0218340611353712
"91","MB","Male","45 to 59","Graduated college",29,0.0253275109170306
"92","MB","Male","45 to 59","Graduated high school",37,0.0323144104803493
"93","MB","Male","60 plus","Didn't graduate college",56,0.0489082969432314
"94","MB","Male","60 plus","Didn't graduate high school",67,0.0585152838427948
"95","MB","Male","60 plus","Graduated college",38,0.0331877729257642
"96","MB","Male","60 plus","Graduated high school",59,0.051528384279476
"97","NB","Female","18 to 29","Didn't graduate college",23,0.0178018575851393
"98","NB","Female","18 to 29","Didn't graduate high school",3,0.00232198142414861
"99","NB","Female","18 to 29","Graduated college",18,0.0139318885448916
"100","NB","Female","18 to 29","Graduated high school",24,0.0185758513931889
"101","NB","Female","30 to 44","Didn't graduate college",66,0.0510835913312693
"102","NB","Female","30 to 44","Didn't graduate high school",2,0.00154798761609907
"103","NB","Female","30 to 44","Graduated college",54,0.0417956656346749
"104","NB","Female","30 to 44","Graduated high school",25,0.0193498452012384
"105","NB","Female","45 to 59","Didn't graduate college",76,0.0588235294117647
"106","NB","Female","45 to 59","Didn't graduate high school",13,0.010061919504644
"107","NB","Female","45 to 59","Graduated college",45,0.0348297213622291
"108","NB","Female","45 to 59","Graduated high school",58,0.0448916408668731
"109","NB","Female","60 plus","Didn't graduate college",99,0.076625386996904
"110","NB","Female","60 plus","Didn't graduate high school",94,0.0727554179566563
"111","NB","Female","60 plus","Graduated college",47,0.0363777089783282
