"","edu","mean","lower","upper"
"1","Didn't graduate college",0.489194579646018,0.347492625368732,0.626710914454277
"2","Didn't graduate high school",0.458128350320876,0.268374858437146,0.652321630804077
"3","Graduated college",0.599395907791279,0.448351501072194,0.742494639027877
"4","Graduated high school",0.452921563538206,0.309785091362126,0.599890988372093
