"","age","mean","lower","upper"
"1","18 to 29",0.557161172566372,0.409734513274336,0.697787610619469
"2","30 to 44",0.510203721374046,0.348388464800679,0.666454622561493
"3","45 to 59",0.500353069739718,0.350471885555335,0.641381879594675
"4","60 plus",0.493439957865169,0.352907941777324,0.628453779366701
