"","edu","mean","lower","upper"
"1","Didn't graduate college",0.489703318584071,0.348668879056047,0.624653392330384
"2","Didn't graduate high school",0.488676481691204,0.301604379010948,0.673480558701397
"3","Graduated college",0.606838456040029,0.455856862044317,0.750723731236598
"4","Graduated high school",0.44722238372093,0.301697466777409,0.584722799003322
