"","age","mean","lower","upper"
"1","18 to 29",0.545645685840708,0.399546460176991,0.686283185840708
"2","30 to 44",0.533016115351993,0.371289228159457,0.680894826123834
"3","45 to 59",0.478725064573813,0.330816610371548,0.624478442280946
"4","60 plus",0.511113444841675,0.374709525025536,0.641984805924413
